itemId,chunkFile,chunkIndex,clinical_focus,rationaleSource,rationaleInjected,rationaleTopicSnippet,exactIdMatch,placeholderBefore
nexus_gen_evaluate_outcomes_1776453011869_14_falno,data-bank/questions/q-chunk-000.json,11,Postoperative Pain / Complication Evaluation,INJECTED,true,Functional mobility is a direct indicator of successful pain,true,true
nexus_clinical_judgment_1776516551932_349_hyoq,data-bank/questions/q-chunk-000.json,19,Multiple Sclerosis,INJECTED,true,"A: Addresses pain but neglects mobility, hygiene. B: Compreh",true,true
nexus_gen_evaluate_outcomes_1776452734225_431_1xhig,data-bank/questions/q-chunk-000.json,20,Postoperative Pain / Complication Evaluation,INJECTED,true,Absence of wound complications is a direct and critical outc,true,true
nexus_analyze_cues_1776514909073_109_zitn,data-bank/questions/q-chunk-000.json,21,Parkinson's Disease,INJECTED,true,Option B addresses emergent ileus. Others delay necessary in,true,true
nexus_gen_recognize_cues_1776452536627_72_sggoe,data-bank/questions/q-chunk-000.json,22,Hypertensive Crisis,INJECTED,true,"Unilateral calf pain, warmth, and tenderness are key indicat",true,true
nexus_gen_evaluate_outcomes_1776452730214_312_u2cf5,data-bank/questions/q-chunk-000.json,25,Burns,INJECTED,true,Option B directly assesses the wound for signs of infection ,true,true
nexus_clinical_judgment_1776516094711_477_mlms,data-bank/questions/q-chunk-000.json,27,Stroke / CVA,INJECTED,true,A: UAP cannot perform medication reconciliation. Beyond thei,true,true
nexus_generate_solutions_1776514677719_259_bqgq,data-bank/questions/q-chunk-000.json,30,Post-op Hip Replacement,INJECTED,true,Option B addresses immediate hypoxemia and respiratory distr,true,true
nexus_gen_evaluate_outcomes_1776451940683_224_u8apr,data-bank/questions/q-chunk-000.json,33,Pancreatitis,INJECTED,true,"A strong pedal pulse confirms unimpaired blood flow, indicat",true,true
nexus_gen_generate_solutions_1776452477218_82_qw4th,data-bank/questions/q-chunk-000.json,38,Surgical Site Infection / Wound Infection,INJECTED,true,Notifying the provider is crucial for timely assessment and ,true,true
nexus_analyze_cues_1776514885301_82_omau,data-bank/questions/q-chunk-000.json,47,Bipolar Disorder,INJECTED,true,"Option B suggests inadequate tissue perfusion, demanding imm",true,true
nexus_clinical_judgment_1776516563966_367_wxjr,data-bank/questions/q-chunk-000.json,48,Burns,INJECTED,true,The correct response is supported by the client’s Burns pres,true,true
nexus_clinical_judgment_1776515800602_166_jldb,data-bank/questions/q-chunk-000.json,49,GI Bleed (Upper/Lower),INJECTED,true,Ambulation is critical post-op. Pain controlled. Delegation ,true,true
nexus_generate_solutions_1776514745544_326_sbab,data-bank/questions/q-chunk-001.json,5,Spinal Cord Injury,INJECTED,true,The safest priority is B: Review recent serum potassium leve,true,true
nexus_clinical_judgment_1776516204021_9_lejg,data-bank/questions/q-chunk-001.json,7,Medication Error / Overdose,INJECTED,true,Palpating for distention directly assesses a common cause of,true,true
nexus_clinical_judgment_1776516623452_428_knad,data-bank/questions/q-chunk-001.json,8,Hypertensive Crisis,INJECTED,true,The correct response is supported by the client’s Hypertensi,true,true
nexus_generate_solutions_1776514439384_30_wwto,data-bank/questions/q-chunk-001.json,10,Diabetic Ketoacidosis (DKA),INJECTED,true,The safest priority is B: Initiate IV fluids as prescribed. ,true,true
nexus_gen_analyze_cues_1776452642139_235_4pg6x,data-bank/questions/q-chunk-001.json,12,Deep Vein Thrombosis / PE,INJECTED,true,"The nurse must first assess for DVT before intervening, as i",true,true
nexus_clinical_judgment_1776515786002_155_tlqu,data-bank/questions/q-chunk-001.json,18,Hypertensive Crisis,INJECTED,true,Option B addresses the life-threatening nature of the condit,true,true
nexus_clinical_judgment_1776516356588_155_fwhp,data-bank/questions/q-chunk-001.json,20,Burns,INJECTED,true,Option B directly addresses the patient's immediate needs fo,true,true
nexus_clinical_judgment_1776515845057_217_bbml,data-bank/questions/q-chunk-001.json,22,Liver Failure / Cirrhosis,INJECTED,true,Option B addresses the most urgent physical and safety need.,true,true
nexus_clinical_judgment_1776515844658_214_ceao,data-bank/questions/q-chunk-001.json,24,Hypertensive Crisis,INJECTED,true,"Option B combines assessment, pain intervention, and patient",true,true
nexus_clinical_judgment_1776515914596_287_cxda,data-bank/questions/q-chunk-001.json,30,Multiple Sclerosis,INJECTED,true,Administering pain medication is the most immediate and effe,true,true
nexus_gen_evaluate_outcomes_1776453174808_220_5tze9,data-bank/questions/q-chunk-001.json,32,Post-op Cholecystectomy,INJECTED,true,"Ambulation is a key outcome for post-op patients, showing pa",true,true
nexus_analyze_cues_1776514833142_29_gqfm,data-bank/questions/q-chunk-001.json,35,Anaphylaxis,INJECTED,true,Option B assesses neuromuscular function. Electrolyte imbala,true,true
nexus_clinical_judgment_1776516219067_20_xfri,data-bank/questions/q-chunk-001.json,37,Trauma / Multiple Injuries,INJECTED,true,Option B provides appropriate non-pharmacological comfort me,true,true
nexus_clinical_judgment_1776515997269_371_agbn,data-bank/questions/q-chunk-001.json,40,Transfusion Reaction,INJECTED,true,"A: Pain 4/10, not urgent. B: Temp/redness demand infection a",true,true
nexus_clinical_judgment_1776515984929_358_lvqs,data-bank/questions/q-chunk-001.json,44,Acute Coronary Syndrome / MI,INJECTED,true,A: Incorrect. Discharge is unsafe with signs of infection. B,true,true
nexus_clinical_judgment_1776516004006_378_ixkg,data-bank/questions/q-chunk-001.json,48,Post-op Cholecystectomy,INJECTED,true,"A: Pain controlled. B: Correct, prevents complications. C: P",true,true
nexus_gen_generate_solutions_1776452483744_302_omzje,data-bank/questions/q-chunk-002.json,5,Postoperative Pain / Complication Evaluation,INJECTED,true,Absent bowel sounds and distension are key indicators of ile,true,true
nexus_clinical_judgment_1776515882517_253_mmpa,data-bank/questions/q-chunk-002.json,6,Hypertensive Crisis,INJECTED,true,Option B is appropriate delegation. A and C are RN tasks. D ,true,true
nexus_gen_evaluate_outcomes_1776453026692_436_a8pxg,data-bank/questions/q-chunk-002.json,7,Postoperative Pain / Complication Evaluation,INJECTED,true,Pain reduction to 2/10 and improved function (ambulation) si,true,true
nexus_generate_solutions_1776514527339_113_yptn,data-bank/questions/q-chunk-002.json,9,Hypoglycemia,INJECTED,true,The safest priority is B: Cover wound with sterile saline-so,true,true
nexus_clinical_judgment_1776516555272_352_yqmg,data-bank/questions/q-chunk-002.json,10,Bipolar Disorder,INJECTED,true,"A: Patient needs full assistance, not self-care. B: Correct.",true,true
nexus_gen_evaluate_outcomes_1776452874769_65_uz16r,data-bank/questions/q-chunk-002.json,11,HIV / AIDS Complications,INJECTED,true,Checking blood glucose first provides objective data to conf,true,true
nexus_clinical_judgment_1776515784506_149_oocf,data-bank/questions/q-chunk-002.json,12,Preeclampsia / Eclampsia,INJECTED,true,Option B provides essential support for a patient living alo,true,true
nexus_clinical_judgment_1776516010042_383_wpcj,data-bank/questions/q-chunk-002.json,15,Meningitis (Adult),INJECTED,true,The correct response is supported by the client’s Meningitis,true,true
nexus_gen_evaluate_outcomes_1776453023231_361_k0vie,data-bank/questions/q-chunk-002.json,16,Post-op Cholecystectomy,INJECTED,true,Pain reduction to 2/10 and resting comfortably indicates eff,true,true
nexus_gen_evaluate_outcomes_1776453019005_257_sny7c,data-bank/questions/q-chunk-002.json,18,Post-op Cholecystectomy,INJECTED,true,Notifying the provider is crucial when current pain manageme,true,true
nexus_gen_evaluate_outcomes_1776452730262_336_pc0c9,data-bank/questions/q-chunk-002.json,19,HIV / AIDS Complications,INJECTED,true,Maintaining a normal temperature is a key indicator that the,true,true
nexus_generate_solutions_1776514473739_62_yafi,data-bank/questions/q-chunk-002.json,21,Pancreatitis,INJECTED,true,A: Clear liquids may trigger more vomiting. B: Correct. Anti,true,true
nexus_clinical_judgment_1776516592770_394_kfwy,data-bank/questions/q-chunk-002.json,22,Medication Error / Overdose,INJECTED,true,The safest priority is B: Reposition the patient every 2 hou,true,true
nexus_clinical_judgment_1776515708364_68_eltv,data-bank/questions/q-chunk-002.json,25,Deep Vein Thrombosis / PE,INJECTED,true,The correct response is supported by the client’s Deep Vein ,true,true
nexus_analyze_cues_1776515014704_215_mled,data-bank/questions/q-chunk-002.json,26,Hypertensive Crisis,INJECTED,true,"O2 sat 92% is abnormal, requiring immediate action for respi",true,true
