itemId,itemType,retirement_reason,failing_audit,replaced
derived_mcq_to_matrix_nexus-gen-evaluate-outcomes-1776452874858-2-2w8np,matrix-multiple-choice,STRUCTURAL_PROMPT_MISMATCH,V8_QUARANTINE,false
nexus_multip_new_ae9e,unknown,GENERIC_FALLBACK_RATIONALE,FINAL-GENERIC-RATIONALE-AUDIT,false
nexus_drag_new_2366,unknown,GENERIC_FALLBACK_RATIONALE,FINAL-GENERIC-RATIONALE-AUDIT,false
nexus_multip_highligh_e501,unknown,GENERIC_FALLBACK_RATIONALE,FINAL-GENERIC-RATIONALE-AUDIT,false
nexus_drag_neutrope_c01c,unknown,GENERIC_FALLBACK_RATIONALE,FINAL-GENERIC-RATIONALE-AUDIT,false
nexus_drag_placenta_4526,unknown,GENERIC_FALLBACK_RATIONALE,FINAL-GENERIC-RATIONALE-AUDIT,false
nexus_multip_nclex_a9c0,unknown,SCORING_PARITY_MISMATCH,FINAL-SCORING-PARITY-AUDIT,false
nexus_multip_new_2ebe,unknown,SCORING_PARITY_MISMATCH,FINAL-SCORING-PARITY-AUDIT,false
nexus_multip_new_dacf,unknown,SCORING_PARITY_MISMATCH,FINAL-SCORING-PARITY-AUDIT,false
nexus_multip_new_3864,unknown,SCORING_PARITY_MISMATCH,FINAL-SCORING-PARITY-AUDIT,false
nexus_multip_new_9730,unknown,SCORING_PARITY_MISMATCH,FINAL-SCORING-PARITY-AUDIT,false
nexus_multip_v26_f9a5,unknown,SCORING_PARITY_MISMATCH,FINAL-SCORING-PARITY-AUDIT,false
nexus_multip_new_b76e,unknown,SCORING_PARITY_MISMATCH,FINAL-SCORING-PARITY-AUDIT,false
nexus_multip_new_35a1,unknown,SCORING_PARITY_MISMATCH,FINAL-SCORING-PARITY-AUDIT,false
nexus_matrix_new_a8cb,unknown,SCORING_PARITY_MISMATCH,FINAL-SCORING-PARITY-AUDIT,false
nexus_multip_chartexh_d798,unknown,SCORING_PARITY_MISMATCH,FINAL-SCORING-PARITY-AUDIT,false
nexus_multip_dndwarfa_370e,unknown,SCORING_PARITY_MISMATCH,FINAL-SCORING-PARITY-AUDIT,false
